timestamp,module,case_id,duration_seconds,is_success,accuracy,manual_minutes,app_minutes
2026-03-25 09:30:00,compliance,C001,15.0,True,100.0,120.0,22.0
2026-03-25 09:33:00,geology,C003,38.0,True,98.0,110.0,20.0
2026-03-25 09:36:00,trade,C005,6.0,True,100.0,45.0,8.0
2026-03-25 11:32:46,geology,C31166,0.35,False,,,
2026-03-25 11:32:49,geology,C31169,0.29,False,,,
2026-03-25 11:32:50,geology,C31170,0.29,False,,,
2026-03-25 11:34:42,geology,C31270,12.33,True,97.0,120.0,1.0
2026-03-25 12:21:19,trade,C34079,0.1,True,100.0,45.0,0.5
2026-03-27 14:11:06,geology,C13451,15.38,True,97.0,120.0,1.0
2026-03-27 14:47:52,trade,C15672,0.12,True,100.0,45.0,0.5
2026-03-27 15:55:38,geology,C19738,0.04,False,,,
2026-03-27 15:55:48,geology,C19748,0.29,False,,,
2026-03-27 15:58:17,trade,C19897,0.32,True,100.0,45.0,0.5
2026-03-27 15:58:58,geology,C19915,22.84,True,97.0,120.0,1.0
2026-03-27 16:35:04,trade,C22103,0.36,True,100.0,45.0,0.5
2026-03-27 16:35:35,general_file,C22135,0.3,False,,,
2026-03-27 17:43:24,geology,C26180,24.79,True,97.0,120.0,1.0
2026-03-27 17:43:31,trade,C26210,0.34,True,100.0,45.0,0.5
2026-03-27 17:51:59,trade,C26718,0.37,True,100.0,45.0,0.5
2026-03-27 18:07:20,trade,C27639,0.38,True,100.0,45.0,0.5
2026-03-27 18:08:42,geology,C27698,23.51,True,97.0,120.0,1.0
2026-03-27 18:10:08,trade,C27808,0.16,True,100.0,45.0,0.5
2026-03-27 18:10:43,trade,C27843,0.14,True,100.0,45.0,0.5
2026-03-27 18:15:09,trade,C28108,0.39,True,100.0,45.0,0.5
2026-03-27 18:25:23,trade,C28722,0.37,True,100.0,45.0,0.5
2026-03-27 18:27:01,geology,C28795,25.99,True,97.0,120.0,1.0
2026-03-27 18:27:47,trade,C28866,0.14,True,100.0,45.0,0.5
2026-03-27 21:30:16,geology,M39773,26.06,True,97.0,120.0,1.0
2026-03-27 21:30:41,trade,T39773,0.39,True,100.0,45.0,0.5
2026-03-27 21:32:58,geology,M39773,32.51,True,97.0,120.0,1.0
2026-03-28 08:35:01,trade,T79663,0.41,True,100.0,45.0,0.5
2026-03-28 08:36:07,geology,M79662,41.33,True,97.0,120.0,1.0
2026-03-28 09:06:39,geology,M81552,38.19,True,97.0,120.0,1.0
2026-03-28 10:04:37,geology,M81552,127.43,True,97.0,120.0,2.123833333333333
2026-03-28 10:57:10,trade,T88220,0.39,True,100.0,45.0,0.5
2026-03-28 10:57:20,trade,T88220,0.14,True,100.0,45.0,0.5
2026-03-28 10:58:15,trade,T88289,0.13,True,100.0,45.0,0.5
2026-03-28 10:58:26,trade,T88289,0.14,True,100.0,45.0,0.5
2026-03-28 11:02:58,geology,M88289,159.98,True,97.0,120.0,2.666333333333333
2026-03-28 11:10:46,geology,M88289,166.66,True,97.0,120.0,2.7776666666666667
2026-03-28 11:14:10,geology,M88289,130.68,True,97.0,120.0,2.178
2026-03-28 11:21:37,trade,T89674,0.39,True,100.0,45.0,0.5
